token_type,token_address,receiver,amount,id
erc20,0x333A4823466879eeF910A04D473505da62142069,0x4e3072f7b5c075ea5fdeb423da95312c4b99dc22,0,
erc20,0x333A4823466879eeF910A04D473505da62142069,0xfad763da9051953fea58c2304395719a3b6ba361,0.034,
erc20,0x333A4823466879eeF910A04D473505da62142069,0xef736f0036647a1b6828c92a9fee27a6ddc2b250,0.033,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x327b0c1ecd110651dc9994b6764b695c9cdc29ba,0.033,
erc20,0x333A4823466879eeF910A04D473505da62142069,0xd25ad8d836bf95e2876e34d6e46635a90c38bb86,0,
erc20,0x333A4823466879eeF910A04D473505da62142069,0x636d65212c815b93b8e5b069f7082169cec851b7,0,
